Value_sc,ecmwf_thunder,gefs_thunder,icon_thunder,models_available,dominant_model,max_model_probability,min_model_probability,model_spread,signal_models_ge10,supporting_models_ge30,raw_risk,risk_level,confidence_level,model_disagreement,municipality_neighbours,dominant_probability,dominant_signal_cluster_ge10,dominant_core_cluster_ge30,dominant_neighbours_ge10,dominant_neighbours_ge30,spatial_coherence,local_spatial_support,ecmwf_signal_cluster_ge10,ecmwf_core_cluster_ge30,icon_signal_cluster_ge10,icon_core_cluster_ge30,gefs_signal_cluster_ge10,gefs_core_cluster_ge30
ЖИТИШТЕ,8.0,0.0,2.5,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,8.0,0,0,2,0,NONE,NONE,0,0,0,0,0,0
КИКИНДА,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,8.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
НОВИ БЕЧЕЈ,8.0,0.0,2.5,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,8.0,0,0,2,0,NONE,NONE,0,0,0,0,0,0
ОЏАЦИ,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,8.0,0,0,2,0,NONE,NONE,0,0,0,0,0,0
ПРОКУПЉЕ,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,8,8.0,0,0,4,3,NONE,NONE,0,0,0,0,0,0
СРБИЦА,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,8.0,0,0,3,3,NONE,NONE,0,0,0,0,0,0
СРБОБРАН,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,8.0,0,0,3,0,NONE,NONE,0,0,0,0,0,0
СУВА РЕКА,8.0,0.0,0.0,3,ECMWF,8.0,0.0,8.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,8,8.0,0,0,4,2,NONE,NONE,0,0,0,0,0,0
БЕЛА ПАЛАНКА,6.0,0.0,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,6.0,0,0,3,1,NONE,NONE,0,0,0,0,0,0
БОСИЛЕГРАД,6.0,3.2,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,3,6.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
НЕГОТИН,6.0,0.0,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,6.0,0,0,4,0,NONE,NONE,0,0,0,0,0,0
НИШ-НИШКА БАЊА,6.0,0.0,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,6.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
НИШ-ПАНТЕЛЕЈ,6.0,0.0,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,6.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
ТРГОВИШТЕ,6.0,3.2,0.0,3,ECMWF,6.0,0.0,6.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,3,6.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ВИТИНА,4.0,3.2,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,3,4.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
КОСОВО ПОЉЕ,4.0,0.0,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,4.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЛИПЉАН,4.0,3.2,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,8,4.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
МАЛИ ИЂОШ,4.0,0.0,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,4.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
НОВА ЦРЊА,4.0,0.0,2.5,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,2,4.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ОБИЛИЋ,4.0,0.0,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,4.0,0,0,1,1,NONE,NONE,0,0,0,0,0,0
ТУТИН,4.0,0.0,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,4.0,0,0,3,2,NONE,NONE,0,0,0,0,0,0
УРОШЕВАЦ,4.0,3.2,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,4.0,0,0,2,0,NONE,NONE,0,0,0,0,0,0
ШТИМЉЕ,4.0,0.0,0.0,3,ECMWF,4.0,0.0,4.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,3,4.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
БУЈАНОВАЦ,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ВРАЊЕ-ГРАД,2.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ГЊИЛАНЕ,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
КОСОВСКА КАМЕНИЦА,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,8,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
МЕДВЕЂА,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
НОВО БРДО,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ПРЕШЕВО,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,2,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ПРИШТИНА-ГРАД,0.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
СУРДУЛИЦА,2.0,3.2,0.0,3,GEFS,3.2,0.0,3.2,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,3.2,0,0,0,0,NONE,NONE,0,0,0,0,0,0
АДА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
БАБУШНИЦА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,2,2,NONE,NONE,0,0,0,0,0,0
БОЈНИК,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,1,1,NONE,NONE,0,0,0,0,0,0
ВЛАДИЧИН ХАН,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ВЛАСОТИНЦЕ,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ГАЏИН ХАН,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ДОЉЕВАЦ,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЖИТОРАЂА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЗУБИН ПОТОК,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,3,3,NONE,NONE,0,0,0,0,0,0
КУЛА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
ЛЕСКОВАЦ-ГРАД,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,11,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
МЕРОШИНА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,1,0,NONE,NONE,0,0,0,0,0,0
НИШ-МЕДИАНА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
НИШ-ПАЛИЛУЛА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
НИШ-ЦРВЕНИ КРСТ,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,6,2.0,0,0,2,0,NONE,NONE,0,0,0,0,0,0
СЕНТА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЦРНА ТРАВА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЧОКА,2.0,0.0,0.0,3,ECMWF,2.0,0.0,2.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,2.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
АПАТИН,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,2,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
БАЧКА ТОПОЛА,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,7,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ВУЧИТРН,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,0.0,0,0,2,2,NONE,NONE,0,0,0,0,0,0
ЗВЕЧАН,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,0.0,0,0,3,3,NONE,NONE,0,0,0,0,0,0
КАЊИЖА,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
ЛЕБАНЕ,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
НОВИ КНЕЖЕВАЦ,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,2,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
СОМБОР-ГРАД,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,5,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
СУБОТИЦА-ГРАД,0.0,0.0,0.0,3,ECMWF,0.0,0.0,0.0,0,0,VERY LOW,VERY LOW,HIGH,LOW,4,0.0,0,0,0,0,NONE,NONE,0,0,0,0,0,0
