Municipality_DOM_ID,Value_e,Value_sl,Value_sc,forecast_hour,valid_time,local_time,gefs_heat_index,gefs_heat_index_p90,gefs_t2m,gefs_rh2m,icon_heat_index,icon_heat_index_p90,icon_t2m,icon_rh2m,multimodel_heat_index,p_below_27,p_27_32,p_32_41,p_41_54,p_ge_54,dominant_category,heat_stress_category_sr,heat_stress_color,dominant_category_probability,models_available,source_models,model_spread_c,confidence,gefs_members,icon_members,status,day_weight,night_weight,thermal_stress_mode,night_key,night_qc,gefs_night_complete,icon_night_complete,p_tmin_lt20,p_tmin_20_22,p_tmin_22_24,p_tmin_24_26,p_tmin_ge26,gefs_night_tmin,icon_night_tmin,multimodel_night_tmin,night_score,thermal_stress_score,thermal_stress_color,thermal_stress_valid_time,thermal_stress_local_time,status_24h
80012,ADA,ADA,АДА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,28.7,32.2,30.5,24.1,,,,,28.7,29.0,54.8,16.1,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,54.8,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.87,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80209,KIKINDA,KIKINDA,КИКИНДА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,30.8,33.4,32.7,21.3,,,,,30.8,6.5,67.7,25.8,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,67.7,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.193,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80365,SENTA,SENTA,СЕНТА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,28.7,31.5,30.1,24.4,,,,,28.7,35.5,58.1,6.5,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.711,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80489,ČOKA,ČOKA,ЧОКА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,29.3,32.5,30.9,22.1,,,,,29.3,19.4,61.3,19.4,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,61.3,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.001,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80276,NOVI KNEŽEVAC,NOVI KNEŽEVAC,НОВИ КНЕЖЕВАЦ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,29.3,32.5,30.9,22.1,,,,,29.3,19.4,61.3,19.4,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,61.3,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.001,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80195,KANJIŽA,KANJIŽA,КАЊИЖА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,28.7,31.5,30.1,24.4,,,,,28.7,35.5,58.1,6.5,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.711,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70521,ŽABARI,ŽABARI,ЖАБАРИ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,33.5,34.8,35.7,17.4,,,,,33.5,0.0,19.4,80.6,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.806,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70530,ŽAGUBICA,ŽAGUBICA,ЖАГУБИЦА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,30.6,31.7,32.5,23.9,,,,,30.6,0.0,90.3,9.7,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,90.3,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.097,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70912,PETROVAC NA MLAVI,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.3,33.2,34.5,19.0,,,,,32.3,0.0,41.9,58.1,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.581,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70696,KUČEVO,KUČEVO,КУЧЕВО,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,31.4,32.2,33.0,25.5,,,,,31.4,0.0,80.6,19.4,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.194,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70807,MALO CRNIĆE,MALO CRNIĆE,МАЛО ЦРНИЋЕ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,33.5,34.8,35.7,17.4,,,,,33.5,0.0,19.4,80.6,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.806,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70475,GOLUBAC,GOLUBAC,ГОЛУБАЦ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,30.8,32.4,32.2,27.2,,,,,30.8,0.0,80.6,19.4,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.194,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70947,POŽAREVAC-GRAD,POŽAREVAC-GRAD,ПОЖАРЕВАЦ-ГРАД,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,33.2,34.6,34.9,20.2,,,,,33.2,0.0,25.8,74.2,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,74.2,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.742,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70394,VELIKO GRADIŠTE,VELIKO GRADIŠTE,ВЕЛИКО ГРАДИШТЕ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.2,33.9,34.0,22.8,,,,,32.2,0.0,41.9,58.1,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.581,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70602,KNJAŽEVAC,KNJAŽEVAC,КЊАЖЕВАЦ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,31.7,32.5,34.2,14.6,,,,,31.7,0.0,67.7,32.3,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,67.7,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.323,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
71129,SOKOBANJA,SOKOBANJA,СОКОБАЊА,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.4,33.0,34.6,15.8,,,,,32.4,0.0,41.9,58.1,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.581,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70319,BOLJEVAC,BOLJEVAC,БОЉЕВАЦ,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.4,33.0,34.6,15.8,,,,,32.4,0.0,41.9,58.1,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,58.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.581,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70556,ZAJEČAR-GRAD,ZAJEČAR-GRAD,ЗАЈЕЧАР-ГРАД,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.6,34.0,34.4,18.8,,,,,32.6,0.0,29.0,71.0,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,71.0,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.71,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70327,BOR,BOR,БОР,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,31.6,32.5,33.7,18.7,,,,,31.6,0.0,64.5,35.5,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,64.5,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.355,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70840,NEGOTIN,NEGOTIN,НЕГОТИН,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,33.8,34.7,35.4,22.0,,,,,33.8,0.0,9.7,90.3,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,90.3,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.903,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70785,MAJDANPEK,MAJDANPEK,МАЈДАНПЕК,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,30.9,32.1,32.5,25.8,,,,,30.9,0.0,83.9,16.1,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,83.9,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.161,YELLOW,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70572,KLADOVO,KLADOVO,КЛАДОВО,15,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,32.8,33.5,34.2,24.8,,,,,32.8,0.0,25.8,74.2,0.0,0.0,32_41,Изражен топлотни стрес,ORANGE,74.2,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,1.742,ORANGE,2026-08-25T15:00:00+00:00,2026-08-25T17:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
