Municipality_DOM_ID,Value_e,Value_sl,Value_sc,date,day_index,model_run,gefs_tmax,icon_tmax,multimodel_tmax,p_below_30,p_30_35,p_35_38,p_38_40,p_ge_40,dominant_category,temperature_category_sr,temperature_color,dominant_category_probability,warmest_valid_time,warmest_period_start_local,warmest_period_end_local,warmest_period_local,warmest_period_resolution_hours,models,gefs_members,icon_members,status,gefs_p_below_30,icon_p_below_30,gefs_p_30_35,icon_p_30_35,gefs_p_35_38,icon_p_35_38,gefs_p_38_40,icon_p_38_40,gefs_p_ge_40,icon_p_ge_40
80012,ADA,ADA,АДА,2026-09-02,1,2026-09-01T00:00:00+00:00,31.6,30.3,31.0,19.1,80.9,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,80.9,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,3.2,35.0,96.8,65.0,0.0,0.0,0.0,0.0,0.0,0.0
80209,KIKINDA,KIKINDA,КИКИНДА,2026-09-02,1,2026-09-01T00:00:00+00:00,31.7,30.0,30.9,25.7,74.3,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,74.3,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,6.5,45.0,93.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0
80365,SENTA,SENTA,СЕНТА,2026-09-02,1,2026-09-01T00:00:00+00:00,31.0,29.9,30.4,40.0,60.0,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,60.0,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,22.6,57.5,77.4,42.5,0.0,0.0,0.0,0.0,0.0,0.0
80489,ČOKA,ČOKA,ЧОКА,2026-09-02,1,2026-09-01T00:00:00+00:00,30.9,30.3,30.6,29.7,70.3,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,70.3,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,19.4,40.0,80.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0
80276,NOVI KNEŽEVAC,NOVI KNEŽEVAC,НОВИ КНЕЖЕВАЦ,2026-09-02,1,2026-09-01T00:00:00+00:00,30.9,30.1,30.5,33.4,66.6,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,66.6,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,19.4,47.5,80.6,52.5,0.0,0.0,0.0,0.0,0.0,0.0
80195,KANJIŽA,KANJIŽA,КАЊИЖА,2026-09-02,1,2026-09-01T00:00:00+00:00,31.0,29.6,30.3,43.8,56.2,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,56.2,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,22.6,65.0,77.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0
70521,ŽABARI,ŽABARI,ЖАБАРИ,2026-09-02,1,2026-09-01T00:00:00+00:00,33.5,31.7,32.6,1.2,97.1,1.6,0.0,0.0,30_35,Тропски дан,YELLOW,97.1,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,0.0,2.5,96.8,97.5,3.2,0.0,0.0,0.0,0.0,0.0
70530,ŽAGUBICA,ŽAGUBICA,ЖАГУБИЦА,2026-09-02,1,2026-09-01T00:00:00+00:00,30.3,29.4,29.8,61.5,38.5,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,61.5,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,35.5,87.5,64.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0
70912,PETROVAC NA MLAVI,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,2026-09-02,1,2026-09-01T00:00:00+00:00,31.6,31.0,31.3,3.8,96.2,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,96.2,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,0.0,7.5,100.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0
70696,KUČEVO,KUČEVO,КУЧЕВО,2026-09-02,1,2026-09-01T00:00:00+00:00,31.6,30.3,30.9,17.5,82.5,0.0,0.0,0.0,30_35,Тропски дан,YELLOW,82.5,2026-09-02T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,0.0,35.0,100.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
